id,Restaurant name,cusine,price_range,location,dietary_tags,features
1,The Plaza,Nigerian Staples,Premium,Mainland,Halal,"Buffet, Event Hall, Jollof Rice, Family-friendly"
2,Black Bell,Nigerian Staples,Moderate,Mainland,Halal,"Everyday Eats, Jollof Rice, Delivery, Casual"
3,Aunty Fati's Food,Nigerian Staples,Budget,Mainland,Halal,"Swallow, Affordable, Traditional, Quick bite"
4,Exodus,Breakfast,Moderate,Island,Vegetarian,"Pancakes, Coffee, Brunch, Outdoor seating"
5,Fast Chicken,Fast Food,Budget,Mainland,Halal,"Fried Chicken, Quick bite, Late-night, Takeout"
6,Tasty Turkey,Fast food,Moderate,Island,Halal,"Grilled Turkey, Fries, Casual, Delivery"
7,Crimp's Pizza,Fast food,Premium,Island,"Halal,Nut-free, Vegetarian","Gourmet Pizza, Cocktails, Modern, Delivery"
8,Uncle P's Pastries,Pastry,Moderate,Mainland,Halal,"Snacks, Cakes, Coffee, Quick bite"
9,Alaba Oge,Traditional,Budget,Mainland,Halal,"Amala, Swallow, Spicy, Street Food"
10,Naija Buka Express,Traditional,Budget,Mainland,Halal,"Mild, Buka Classics, Swallow, Quick bite"
11,Coastal Grills,Seafood,Premium,Island,"Pescatarian, Nut-Free","Grilled Fish, Seafood, Fine Dining, Romantic"
12,Calabar Kitchenette,Traditional,Budget,Mainland,None,"Edikang Ikong, Spicy, Traditional, Filling meals"
13,The Suya Spot,Fast Food,Budget,Island,Halal,"Beef Suya, Chicken Suya, Spicy, Late-night, Street Food"
14,Amala Joint 247,Traditional,Moderate,Mainland,Halal,"Amala, Gbegiri, Spicy, Late-night"
15,Spice Bistro,Intercontinental,Moderate,Mainland,"Vegetarian, Halal","Pasta, Cocktails, Outdoor seating, Casual"
16,Vintage Pot,Intercontinental,Premium,Island,"Gluten-Free, Halal","Fine Dining, Wine Bar, Romantic, Plated Meals"
17,The Morning Griddle,Breakfast,Moderate,Mainland,Vegetarian,"Waffles, Omelettes, Brunch, Coffee"
18,Tokyo to Lagos,Asian Fusion,Premium,Island,"Pescatarian, Halal","Sushi, Asian Fusion, Cocktails, Trendy"
19,Urban Express Diner,Fast food,Moderate,Island,Halal,"Stir fry noodles, Burgers, Fast Casual, Delivery"
20,Mama Put Central,Nigerian Staples,Budget,Mainland,Halal,"Rice & Beans, Spicy, Affordable, Buka Classics"
21,Sunrise Pastries & Diner,Breakfast,Budget,Island,Vegetarian,"Croissants, Pastries, Coffee, Quick bite"
22,Wok & Roll,Asian Fusion,Premium,Island,"Vegetarian, Halal","Noodles, Stir-fry, Trendy, Delivery"
23,Gourmet Wraps & Bites,Finger Foods,Moderate,Island,"Halal, Nut-Free","Shawarma, Asun, Finger Foods, Cocktails"
24,123 Chops & Grill,Finger Foods,Moderate,Mainland,Halal,"Small Chops, Puff Puff, Asun, Event Packs"
25,Cold Treats Corner,Dessert,Premium,Island,"Vegetarian, Dairy-Free","Gelato, Ice Cream, Milkshakes, Late-night"
